customerid,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn
8782-lkfpk,male,0,no,no,44,yes,yes,fiber optic,no,no,yes,no,no,yes,month-to-month,yes,mailed check,90.4,4063.0,no
5522-jbwmo,male,0,no,yes,1,yes,no,dsl,no,no,no,no,no,no,month-to-month,no,electronic check,44.0,44.0,no
3597-mvhjt,female,0,no,no,27,yes,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,yes,bank transfer (automatic),95.6,2595.25,no
9774-nrnau,male,1,yes,no,27,yes,yes,dsl,no,yes,yes,yes,yes,yes,month-to-month,yes,bank transfer (automatic),84.8,2309.55,no
0224-rlwwd,female,1,no,no,2,yes,no,dsl,no,no,no,no,no,no,month-to-month,yes,electronic check,44.3,89.3,no
9967-atrfs,female,0,no,no,19,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,19.9,367.55,no
3951-njcvi,female,1,yes,no,42,yes,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,yes,electronic check,95.05,3944.5,no
2977-cebsx,female,0,no,no,66,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two year,yes,credit card (automatic),90.05,5965.95,no
0177-pxbat,male,1,yes,no,33,yes,yes,fiber optic,yes,no,yes,yes,yes,yes,month-to-month,yes,bank transfer (automatic),109.9,3694.7,no
6599-cebnn,female,0,no,no,34,yes,no,fiber optic,no,yes,no,no,no,no,month-to-month,yes,credit card (automatic),73.95,2524.45,yes
2519-erqoj,male,1,no,no,33,no,no phone service,dsl,no,no,yes,yes,yes,yes,month-to-month,yes,electronic check,54.6,1803.7,no
5876-qmyld,female,0,yes,yes,23,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,20.05,415.1,no
2277-axsdc,female,0,no,no,32,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,bank transfer (automatic),19.75,624.15,no
9442-jtwdl,female,0,no,no,11,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,credit card (automatic),20.05,237.7,no
0979-phulv,male,0,yes,yes,69,yes,yes,fiber optic,no,no,yes,no,yes,yes,month-to-month,yes,credit card (automatic),99.45,7007.6,yes
3067-svmtc,female,0,yes,no,68,yes,no,dsl,yes,no,no,yes,no,no,one year,no,bank transfer (automatic),55.9,3848.8,no
5495-gpsrw,male,0,no,no,20,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,mailed check,19.7,419.4,no
7606-bphhn,male,0,no,no,72,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,credit card (automatic),19.8,1468.75,no
4742-drora,male,0,yes,yes,60,yes,yes,fiber optic,yes,no,yes,no,yes,no,one year,yes,bank transfer (automatic),95.4,5812.0,no
0111-klbqg,male,1,yes,yes,32,yes,no,fiber optic,no,yes,no,no,yes,yes,month-to-month,yes,mailed check,93.95,2861.45,no
4800-vhzki,female,0,no,no,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,mailed check,19.9,19.9,yes
7989-chgtl,male,0,no,no,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,mailed check,19.6,19.6,yes
0334-gddso,male,1,no,no,3,yes,yes,fiber optic,no,yes,no,no,no,no,month-to-month,yes,electronic check,81.35,233.7,yes
4163-ncjak,female,0,yes,no,46,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,yes,bank transfer (automatic),24.45,1066.15,no
5233-aozuf,female,0,yes,no,29,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,74.95,2149.05,no
5973-ejgdp,male,0,no,no,51,yes,yes,fiber optic,no,yes,yes,yes,no,no,month-to-month,yes,electronic check,87.35,4473.0,no
1996-dbmus,female,1,yes,no,48,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,bank transfer (automatic),70.65,3545.05,no
7916-vccpb,female,0,yes,yes,16,yes,no,fiber optic,no,yes,no,no,no,no,month-to-month,no,bank transfer (automatic),73.25,1195.75,no
4686-gefrm,male,0,yes,no,70,yes,yes,fiber optic,no,yes,yes,yes,no,yes,two year,yes,bank transfer (automatic),98.7,6858.9,no
5249-qyhex,female,0,yes,yes,40,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,mailed check,24.8,1024.7,no
0578-skvmf,female,0,yes,yes,22,yes,no,fiber optic,no,yes,no,no,no,yes,month-to-month,no,electronic check,83.3,1845.9,yes
5564-nemqo,female,1,no,no,1,yes,no,fiber optic,no,no,yes,no,no,no,month-to-month,yes,bank transfer (automatic),75.3,75.3,yes
2233-fagxv,female,0,yes,yes,5,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,mailed check,24.3,132.25,no
5605-iygfg,female,0,no,no,7,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,bank transfer (automatic),69.85,515.45,no
7663-ztegj,male,0,no,yes,29,yes,yes,fiber optic,no,yes,yes,yes,no,yes,one year,no,credit card (automatic),100.55,2830.45,no
3935-tbrzz,male,0,yes,yes,44,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,25.7,1110.5,no
8111-bkvds,female,0,no,no,10,no,no phone service,dsl,yes,yes,yes,no,no,no,month-to-month,no,bank transfer (automatic),40.7,449.3,no
2055-sifss,female,1,yes,no,55,yes,yes,dsl,no,no,no,no,no,no,month-to-month,no,bank transfer (automatic),51.65,2838.55,no
2806-mlnti,male,1,yes,no,52,yes,yes,fiber optic,no,yes,yes,no,yes,yes,one year,yes,bank transfer (automatic),105.1,5376.4,no
8734-dkstz,female,0,yes,yes,10,yes,yes,fiber optic,no,no,no,no,no,yes,month-to-month,no,electronic check,85.95,858.6,no
4360-pnrqb,male,0,no,no,18,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,bank transfer (automatic),75.6,1395.05,no
6152-onasv,female,0,yes,no,68,yes,yes,dsl,yes,no,no,yes,no,no,one year,no,bank transfer (automatic),58.25,3975.7,no
9063-zgtuy,female,0,yes,yes,61,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,mailed check,19.4,1182.55,yes
7781-hvgmk,female,0,yes,yes,72,no,no phone service,dsl,yes,yes,yes,yes,yes,yes,two year,yes,credit card (automatic),65.2,4784.45,no
2181-uaesm,male,0,no,no,2,yes,no,dsl,yes,no,yes,no,no,no,month-to-month,no,electronic check,53.45,119.5,no
2957-lolho,male,0,no,no,12,yes,no,dsl,no,no,no,no,no,no,month-to-month,yes,bank transfer (automatic),45.4,518.9,yes
6048-njxhx,male,0,yes,no,41,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,electronic check,19.75,899.45,no
2320-slkmb,female,0,no,no,26,no,no phone service,dsl,no,no,yes,yes,yes,no,month-to-month,yes,credit card (automatic),44.45,1183.8,no
4980-urkxc,male,0,yes,no,36,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,bank transfer (automatic),20.85,720.05,no
4376-kfvrs,male,0,yes,yes,72,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,two year,yes,credit card (automatic),114.05,8468.2,no
5886-vlqvu,male,0,yes,no,35,yes,yes,fiber optic,no,no,no,yes,no,yes,month-to-month,yes,bank transfer (automatic),89.85,3161.2,no
3577-amvux,male,0,no,no,1,yes,no,dsl,no,no,yes,yes,no,no,month-to-month,no,mailed check,55.05,55.05,no
0771-wlcla,female,0,yes,yes,16,yes,yes,fiber optic,yes,no,yes,yes,yes,yes,month-to-month,yes,electronic check,112.95,1882.55,no
5628-rkifk,female,1,no,no,49,yes,yes,fiber optic,yes,no,no,no,yes,yes,month-to-month,no,credit card (automatic),101.55,5070.4,no
0206-tbwlc,female,0,yes,no,54,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,one year,yes,mailed check,114.65,6049.5,no
2937-fthur,female,0,no,yes,18,yes,yes,dsl,yes,no,no,no,no,yes,month-to-month,no,electronic check,64.8,1166.7,no
1910-fmxjm,female,0,yes,no,36,yes,no,fiber optic,no,no,no,no,no,yes,month-to-month,no,electronic check,80.4,2937.65,no
7752-xusci,female,0,no,no,60,yes,yes,fiber optic,no,yes,yes,no,yes,yes,month-to-month,yes,electronic check,105.9,6396.45,yes
4110-pfeuz,female,0,no,no,1,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,no,mailed check,69.55,69.55,yes
0732-ocqoc,female,0,yes,yes,52,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,bank transfer (automatic),25.05,1270.25,no
5168-mswxt,male,0,yes,yes,8,yes,no,fiber optic,no,no,yes,no,yes,yes,month-to-month,yes,electronic check,94.75,759.55,no
1090-eselr,male,0,yes,yes,72,yes,no,fiber optic,yes,yes,no,yes,yes,yes,two year,no,bank transfer (automatic),105.5,7611.55,no
8592-pltmq,female,0,no,no,64,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,24.7,1642.75,no
5760-wrahc,female,1,no,no,22,yes,no,dsl,yes,no,yes,yes,no,yes,month-to-month,yes,mailed check,69.75,1545.4,no
8847-geooq,male,0,yes,no,60,no,no phone service,dsl,no,yes,yes,yes,yes,yes,month-to-month,yes,bank transfer (automatic),60.2,3582.4,no
0256-lthvj,female,0,yes,yes,28,yes,no,fiber optic,no,no,no,no,no,yes,month-to-month,yes,electronic check,81.05,2227.1,yes
4785-fcifb,female,0,yes,no,61,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,24.4,1417.9,no
8313-ndoia,female,0,no,no,24,yes,yes,fiber optic,no,yes,yes,no,yes,yes,month-to-month,yes,electronic check,104.15,2494.65,no
5149-cuzuj,male,0,yes,yes,28,yes,no,fiber optic,no,yes,yes,yes,yes,no,one year,no,bank transfer (automatic),92.9,2768.35,no
0942-kowsm,female,0,yes,yes,30,yes,no,dsl,no,yes,yes,yes,yes,yes,two year,no,bank transfer (automatic),80.8,2369.3,no
4237-clsmm,male,0,yes,no,2,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,20.0,38.0,no
1452-voqch,male,0,no,no,1,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,75.1,75.1,no
4719-umsiy,male,0,no,yes,6,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,19.65,100.9,no
6614-vbegu,female,0,yes,no,24,yes,no,dsl,no,yes,no,no,yes,yes,month-to-month,yes,bank transfer (automatic),69.45,1614.05,no
0880-tkatg,male,0,yes,yes,4,yes,yes,fiber optic,no,no,yes,no,yes,yes,month-to-month,no,electronic check,101.15,385.9,yes
3811-vbybz,male,0,no,no,7,yes,yes,fiber optic,no,yes,no,no,yes,yes,month-to-month,yes,electronic check,99.8,673.25,yes
1480-bkxga,male,1,yes,no,72,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,two year,yes,bank transfer (automatic),116.05,8404.9,no
2996-xauvf,male,0,no,no,70,no,no phone service,dsl,no,no,no,yes,no,yes,two year,yes,mailed check,40.05,2799.75,no
9076-axyik,male,1,yes,no,64,yes,yes,fiber optic,no,no,yes,yes,yes,yes,two year,no,electronic check,102.1,6538.45,no
5968-xqive,male,0,yes,yes,72,yes,yes,fiber optic,no,yes,no,no,yes,no,one year,yes,electronic check,89.7,6588.95,no
8896-razcr,female,0,no,yes,44,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,19.9,868.1,no
4640-uhdos,female,0,yes,yes,13,yes,no,dsl,no,no,no,no,no,yes,month-to-month,no,electronic check,55.95,734.35,yes
4933-ikulf,female,1,no,no,17,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,20.65,330.6,no
3583-ekapl,male,0,no,no,1,yes,no,dsl,no,no,no,no,no,yes,month-to-month,yes,electronic check,55.0,55.0,yes
1304-bccfo,male,0,yes,no,9,yes,no,dsl,no,no,yes,no,yes,yes,month-to-month,yes,mailed check,70.05,564.4,no
4104-pvrps,male,0,yes,no,24,yes,no,dsl,yes,no,no,yes,no,no,month-to-month,no,mailed check,53.6,1315.35,no
9399-aplbt,female,0,yes,yes,1,yes,no,fiber optic,no,yes,no,no,no,no,month-to-month,yes,electronic check,74.7,74.7,yes
2359-kmgli,male,0,no,no,24,yes,yes,fiber optic,no,yes,no,no,no,no,month-to-month,yes,electronic check,80.25,1861.5,yes
3780-ddgse,male,1,yes,yes,35,yes,no,dsl,no,yes,no,yes,yes,yes,month-to-month,yes,electronic check,76.05,2747.2,no
4431-edmiq,female,0,yes,yes,7,yes,no,dsl,yes,yes,yes,yes,yes,no,month-to-month,yes,electronic check,75.7,554.05,no
0306-jaele,male,0,no,no,5,yes,no,fiber optic,no,no,no,yes,yes,yes,month-to-month,yes,electronic check,96.1,453.4,yes
6227-hwpwx,female,0,no,yes,15,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,no,bank transfer (automatic),69.0,994.8,yes
0486-lgcch,male,0,yes,yes,11,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,19.65,225.75,no
0447-bemng,female,0,yes,no,48,no,no phone service,dsl,yes,no,yes,no,no,yes,month-to-month,yes,bank transfer (automatic),45.3,2145.0,yes
4612-ssvhj,female,1,no,no,20,yes,no,fiber optic,no,no,no,no,no,yes,month-to-month,yes,electronic check,81.45,1671.6,no
5168-mqqca,female,0,yes,no,72,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,one year,yes,bank transfer (automatic),108.5,8003.8,no
5949-xikae,female,0,yes,yes,8,yes,no,fiber optic,no,yes,no,no,yes,no,month-to-month,yes,electronic check,83.55,680.05,yes
7971-hlvxi,male,0,yes,yes,72,yes,yes,fiber optic,no,no,no,no,no,yes,two year,yes,credit card (automatic),84.5,6130.85,no
9094-azphk,female,0,no,no,15,yes,yes,fiber optic,no,yes,no,no,yes,yes,month-to-month,yes,electronic check,100.15,1415.0,no
3649-jpugy,male,0,no,no,72,yes,yes,dsl,no,yes,yes,yes,yes,yes,two year,yes,bank transfer (automatic),88.6,6201.95,no
4472-lvygi,female,0,yes,yes,0,no,no phone service,dsl,yes,no,yes,yes,yes,no,two year,yes,bank transfer (automatic),52.55,1426.4,no
8372-juxui,male,0,no,yes,1,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,74.35,74.35,yes
3552-ctcyf,male,0,yes,yes,63,yes,yes,fiber optic,no,yes,yes,no,yes,yes,two year,yes,bank transfer (automatic),104.8,6597.25,no
6778-ysnih,female,0,no,no,2,yes,no,dsl,no,yes,no,no,yes,no,month-to-month,yes,electronic check,59.0,114.15,no
0388-eopex,female,0,yes,no,2,yes,no,fiber optic,yes,no,no,no,no,no,month-to-month,yes,electronic check,74.4,139.4,yes
5756-ozrio,male,1,yes,no,61,yes,yes,dsl,no,yes,no,no,no,yes,one year,no,bank transfer (automatic),64.05,3902.6,no
6579-jpicp,male,0,no,no,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,20.4,20.4,no
8205-otchb,male,0,no,no,22,no,no phone service,dsl,no,yes,yes,no,no,yes,one year,yes,bank transfer (automatic),43.75,903.6,yes
4134-bsxlx,male,0,yes,no,28,yes,no,dsl,yes,yes,no,yes,no,no,month-to-month,no,mailed check,60.9,1785.65,no
0505-spoow,female,0,yes,no,70,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),19.8,1397.65,no
6235-vdhom,female,1,no,no,5,no,no phone service,dsl,no,yes,no,no,no,no,month-to-month,no,electronic check,28.45,131.05,yes
7783-ykgdv,female,0,no,no,12,yes,yes,fiber optic,yes,yes,yes,no,no,yes,month-to-month,yes,bank transfer (automatic),99.7,1238.45,yes
4374-ymusq,male,0,no,no,34,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,one year,no,credit card (automatic),116.25,3899.05,no
4513-cxyix,female,1,yes,no,71,yes,yes,fiber optic,yes,no,no,no,no,no,two year,yes,credit card (automatic),80.7,5676.0,no
3957-hhlmr,female,0,yes,yes,70,yes,yes,dsl,yes,no,no,no,no,yes,one year,no,bank transfer (automatic),65.2,4543.15,no
7803-xoccz,female,0,yes,yes,52,yes,no,fiber optic,yes,no,yes,yes,no,no,month-to-month,yes,bank transfer (automatic),84.05,4326.8,no
5736-yejax,male,0,no,yes,69,yes,yes,dsl,yes,yes,yes,yes,yes,no,two year,yes,credit card (automatic),79.45,5502.55,no
5609-cebid,female,1,no,no,20,yes,yes,fiber optic,no,yes,yes,no,no,yes,month-to-month,yes,electronic check,94.1,1782.4,yes
8981-fjgla,male,0,no,yes,11,yes,yes,fiber optic,no,no,yes,no,no,no,month-to-month,yes,mailed check,78.0,851.8,no
7218-hkqfk,male,0,yes,no,2,yes,no,fiber optic,no,no,no,yes,yes,yes,month-to-month,yes,electronic check,94.2,167.5,yes
4636-qrjky,female,0,yes,yes,6,yes,yes,fiber optic,no,no,no,yes,no,no,month-to-month,yes,electronic check,80.5,502.85,yes
1135-lmecx,female,0,no,no,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,19.85,19.85,no
4332-muoez,male,1,yes,yes,20,yes,no,fiber optic,yes,no,yes,yes,no,yes,one year,no,credit card (automatic),94.3,1818.3,no
8535-sfutn,male,0,no,no,61,yes,yes,fiber optic,yes,no,yes,no,yes,yes,month-to-month,yes,electronic check,106.45,6300.15,no
5956-vkdtt,female,1,yes,no,5,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,74.35,334.8,yes
8677-hdzee,female,0,no,no,56,yes,yes,fiber optic,no,yes,no,yes,yes,yes,month-to-month,yes,bank transfer (automatic),105.45,5916.95,no
2475-mrozf,male,0,no,no,30,yes,yes,fiber optic,yes,yes,yes,yes,no,no,month-to-month,yes,credit card (automatic),95.0,2852.4,no
9412-gheec,male,0,no,no,40,yes,yes,fiber optic,no,no,yes,yes,yes,yes,month-to-month,no,bank transfer (automatic),104.8,4131.95,yes
3482-abpkk,female,0,no,no,28,yes,no,dsl,yes,no,no,yes,no,no,one year,no,mailed check,54.3,1546.3,no
6705-lxorm,female,1,yes,no,5,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,no,electronic check,70.05,302.6,no
0257-zesqc,female,1,yes,no,27,yes,no,fiber optic,yes,no,no,no,no,no,month-to-month,yes,bank transfer (automatic),75.2,1929.35,yes
7531-gqhme,male,0,no,no,12,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,credit card (automatic),20.05,265.45,no
5174-itumv,male,0,yes,yes,67,yes,yes,fiber optic,no,yes,yes,no,yes,yes,one year,yes,electronic check,105.4,6989.45,no
4109-cyrbd,male,1,yes,no,29,yes,yes,dsl,no,no,no,no,no,no,month-to-month,yes,electronic check,51.6,1442.0,no
0913-xwscn,male,0,yes,yes,55,yes,yes,fiber optic,no,no,no,no,no,yes,month-to-month,no,bank transfer (automatic),85.5,4713.4,no
6825-uypfk,female,0,no,no,23,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,no,bank transfer (automatic),75.6,1758.6,yes
8397-mvtaz,male,0,yes,no,34,yes,yes,fiber optic,no,no,yes,no,yes,yes,month-to-month,yes,electronic check,100.05,3480.0,yes
0750-ebaiu,male,0,no,no,52,yes,no,fiber optic,yes,no,yes,no,yes,no,one year,no,electronic check,91.25,4738.3,no
8606-ciqul,male,1,yes,yes,72,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,two year,yes,credit card (automatic),115.75,8399.15,no
3571-dpyuh,male,0,yes,yes,58,yes,yes,fiber optic,no,yes,no,yes,yes,no,one year,yes,credit card (automatic),94.7,5430.35,no
7601-gndyk,male,0,yes,yes,35,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,19.6,686.95,no
0356-obmac,female,1,no,no,56,yes,yes,fiber optic,no,yes,yes,yes,yes,no,two year,yes,bank transfer (automatic),99.9,5706.3,no
8067-nioym,female,0,yes,yes,24,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,credit card (automatic),21.1,490.65,no
1403-gyafu,male,0,yes,yes,70,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),20.05,1360.25,no
4234-xtnea,male,0,no,no,2,yes,no,fiber optic,no,no,no,no,yes,no,month-to-month,yes,electronic check,79.95,174.45,no
1297-vqdrp,male,1,yes,yes,68,yes,yes,fiber optic,no,no,yes,yes,yes,yes,one year,yes,credit card (automatic),107.15,7379.8,no
9282-izgqk,female,0,no,no,1,yes,yes,fiber optic,no,no,no,no,no,yes,month-to-month,yes,electronic check,85.0,85.0,yes
5348-cagxb,male,0,no,no,12,yes,yes,fiber optic,no,no,yes,no,yes,no,month-to-month,yes,electronic check,89.55,1021.75,no
0621-hjwxj,female,0,yes,no,63,yes,yes,fiber optic,no,yes,no,no,no,no,month-to-month,yes,bank transfer (automatic),81.55,5029.05,no
5844-qvtat,female,0,yes,yes,33,yes,no,dsl,yes,yes,yes,no,no,no,one year,yes,mailed check,58.45,1955.4,no
8905-iazpf,female,0,yes,no,69,yes,no,fiber optic,no,yes,no,no,yes,yes,one year,yes,credit card (automatic),95.65,6744.2,no
5394-meitz,female,0,yes,yes,60,yes,no,dsl,no,yes,yes,yes,yes,yes,two year,yes,bank transfer (automatic),80.6,4946.7,no
6859-qnxiq,female,0,yes,yes,72,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,two year,yes,bank transfer (automatic),113.1,8248.5,no
2782-lfzvw,female,0,no,no,11,yes,yes,dsl,no,no,no,no,no,yes,month-to-month,yes,mailed check,58.95,601.6,no
2866-ikbtm,female,0,no,no,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,19.55,19.55,no
1342-jpnki,male,0,no,no,10,yes,yes,fiber optic,no,no,no,no,yes,no,month-to-month,yes,bank transfer (automatic),86.05,834.1,yes
2817-ntqdo,male,0,no,no,13,no,no phone service,dsl,yes,no,no,yes,yes,no,month-to-month,yes,credit card (automatic),45.55,597.0,yes
7129-azjde,male,0,yes,yes,34,yes,no,fiber optic,no,no,no,no,no,yes,one year,yes,bank transfer (automatic),78.95,2647.2,no
6986-ijdhx,male,0,yes,yes,39,yes,no,fiber optic,no,yes,no,no,yes,no,month-to-month,yes,mailed check,86.3,3266.0,yes
2560-ppche,female,0,no,no,65,yes,yes,fiber optic,no,yes,no,yes,yes,yes,one year,yes,bank transfer (automatic),105.05,6744.25,no
4676-mquea,male,1,yes,no,50,yes,yes,fiber optic,yes,yes,yes,no,yes,no,one year,yes,bank transfer (automatic),101.9,5265.5,no
8138-ealnd,male,0,no,no,15,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,19.75,311.6,no
3580-hycsp,male,0,yes,yes,72,yes,yes,fiber optic,yes,yes,yes,no,yes,yes,two year,yes,bank transfer (automatic),110.3,7966.9,no
1352-hnsaw,female,0,yes,yes,72,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,two year,yes,bank transfer (automatic),115.6,8220.4,no
2075-puepr,male,0,yes,yes,55,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),19.35,1153.25,no
1982-febtd,female,0,yes,yes,23,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,credit card (automatic),25.6,514.75,no
5301-gauuy,male,0,no,no,32,yes,yes,fiber optic,no,yes,no,no,no,no,month-to-month,yes,bank transfer (automatic),80.35,2596.15,yes
5791-kajfd,female,0,yes,yes,56,yes,yes,dsl,yes,no,yes,no,no,yes,one year,yes,bank transfer (automatic),68.75,3808.0,no
2654-vbvpb,female,0,no,no,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,bank transfer (automatic),19.9,19.9,no
1154-hywwo,male,0,no,no,38,yes,no,dsl,yes,yes,no,yes,yes,no,one year,no,mailed check,70.6,2708.2,no
2501-xwwtz,male,0,no,no,11,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,no,electronic check,70.2,760.05,no
3716-uvspd,male,0,no,no,1,yes,no,dsl,no,no,no,yes,no,no,month-to-month,yes,electronic check,49.3,49.3,no
6815-abqfq,male,0,yes,no,56,yes,yes,fiber optic,no,yes,no,yes,yes,yes,one year,yes,electronic check,107.25,6033.3,no
7343-eobeu,male,0,yes,no,3,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,mailed check,23.6,89.05,no
3701-sfmuh,male,0,yes,yes,7,yes,no,dsl,yes,no,no,no,yes,yes,month-to-month,no,credit card (automatic),69.7,516.15,no
6103-lianb,male,0,yes,yes,59,yes,yes,fiber optic,no,no,yes,no,yes,yes,two year,yes,credit card (automatic),99.5,5861.75,no
7319-venrz,male,0,no,no,7,yes,no,dsl,no,no,yes,yes,yes,no,month-to-month,no,bank transfer (automatic),64.3,445.95,no
5846-neqvz,male,0,yes,yes,71,yes,no,dsl,yes,no,yes,yes,no,yes,two year,yes,credit card (automatic),70.85,4973.4,no
6967-qiqrv,male,0,yes,yes,15,yes,no,fiber optic,yes,no,no,yes,yes,yes,one year,no,electronic check,101.9,1667.25,no
5781-rfzrp,male,0,yes,no,71,yes,yes,dsl,yes,yes,no,yes,yes,no,two year,no,credit card (automatic),73.5,5357.75,no
0939-yapaf,female,0,no,no,35,yes,yes,fiber optic,no,no,yes,no,yes,yes,month-to-month,yes,electronic check,100.25,3527.6,yes
0308-ivgok,female,0,no,no,11,no,no phone service,dsl,no,yes,yes,yes,no,no,one year,yes,credit card (automatic),40.4,422.6,no
7293-lscdv,female,0,yes,yes,60,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,credit card (automatic),19.25,1103.25,no
7025-wcbne,male,1,no,no,47,yes,yes,dsl,no,yes,no,yes,no,no,two year,no,bank transfer (automatic),59.6,2754.0,no
5756-jyojt,female,0,no,no,11,yes,no,dsl,no,no,yes,yes,no,yes,one year,no,credit card (automatic),64.9,697.25,no
4710-fduiz,male,0,yes,no,56,yes,yes,fiber optic,no,yes,no,no,yes,yes,one year,no,credit card (automatic),100.3,5614.45,yes
6030-rehux,female,1,yes,no,28,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,month-to-month,yes,electronic check,110.85,3204.4,no
9548-ligta,male,0,yes,no,61,yes,no,dsl,yes,yes,no,yes,yes,yes,two year,yes,mailed check,81.05,4747.65,no
5150-ljnsr,male,0,yes,yes,31,yes,yes,fiber optic,yes,no,yes,no,yes,no,one year,no,bank transfer (automatic),98.05,3082.1,no
8270-rksap,male,0,no,no,9,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,70.5,597.9,no
6522-yrbxd,male,1,yes,no,35,yes,yes,fiber optic,yes,yes,no,no,no,yes,month-to-month,yes,electronic check,94.55,3365.4,no
2640-lymov,male,0,no,no,2,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,mailed check,19.65,38.8,no
